Frequency (Hz)	Level (dB)
1148.000000	-82.648499
1152.000000	-85.897820
1156.000000	-82.913116
1160.000000	-79.140343
1164.000000	-78.219704
1168.000000	-77.302704
1172.000000	-73.685181
1176.000000	-73.031212
1180.000000	-79.302109
1184.000000	-79.723251
1188.000000	-78.660522
1192.000000	-82.979881
1196.000000	-85.445335
1200.000000	-84.688217
1204.000000	-85.822334
1208.000000	-90.565659
1212.000000	-85.586739
1216.000000	-86.253448
1220.000000	-77.619400
1224.000000	-73.676476
1228.000000	-77.966263
1232.000000	-82.081261
1236.000000	-78.520996
1240.000000	-81.929527
1244.000000	-86.418999
1248.000000	-84.213844
1252.000000	-86.758072
1256.000000	-91.891342
1260.000000	-84.394829
1264.000000	-86.453156
1268.000000	-76.018959
1272.000000	-73.978531
1276.000000	-79.408249
1280.000000	-83.191139
1284.000000	-84.487411
1288.000000	-81.391037
1292.000000	-85.299309
1296.000000	-86.734360
1300.000000	-85.123306
1304.000000	-83.213974
1308.000000	-84.293655
1312.000000	-85.372147
1316.000000	-81.261269
1320.000000	-78.321182
1324.000000	-77.207771
1328.000000	-77.412834
1332.000000	-79.508553
1336.000000	-82.338600
1340.000000	-84.697548
1344.000000	-84.228752
1348.000000	-85.699249
1352.000000	-84.723419
1356.000000	-83.814369
1360.000000	-85.523003
1364.000000	-84.251274
1368.000000	-83.723083
1372.000000	-78.677574
1376.000000	-75.987526
1380.000000	-76.323402
1384.000000	-79.451469
1388.000000	-81.620415
1392.000000	-82.993370
1396.000000	-85.646103
1400.000000	-83.482880
1404.000000	-85.528473
1408.000000	-88.275238
1412.000000	-88.526497
1416.000000	-79.893410
1420.000000	-73.919121
1424.000000	-76.089401
1428.000000	-84.211800
1432.000000	-91.283371
1436.000000	-85.697845
1440.000000	-87.264595
1444.000000	-87.135849
1448.000000	-87.080330
1452.000000	-82.062172
1456.000000	-78.970428
1460.000000	-80.108231
1464.000000	-78.507057
1468.000000	-75.031685
1472.000000	-77.819359
1476.000000	-83.065788
1480.000000	-82.437607
1484.000000	-84.573105
1488.000000	-89.148430
1492.000000	-90.350685
1496.000000	-94.353302
1500.000000	-87.334343
1504.000000	-87.479439
1508.000000	-80.678673
1512.000000	-80.507675
1516.000000	-80.884705
1520.000000	-78.758942
1524.000000	-77.042191
1528.000000	-78.243813
1532.000000	-80.936142
1536.000000	-81.428307
1540.000000	-82.805389
1544.000000	-83.377289
1548.000000	-82.749916
1552.000000	-83.078430
1556.000000	-81.718544
1560.000000	-81.732231
1564.000000	-75.645905
1568.000000	-75.023697
1572.000000	-77.394547
1576.000000	-82.913727
1580.000000	-82.942963
1584.000000	-89.262352
1588.000000	-88.009735
1592.000000	-89.350266
1596.000000	-86.238762
1600.000000	-83.977974
1604.000000	-82.561050
1608.000000	-85.141716
1612.000000	-80.512962
1616.000000	-76.285370
1620.000000	-77.562607
1624.000000	-80.755104
1628.000000	-80.898636
1632.000000	-83.477158
1636.000000	-84.295158
1640.000000	-91.039841
1644.000000	-84.501419
1648.000000	-84.260101
1652.000000	-84.165405
1656.000000	-82.946571
1660.000000	-85.526070
1664.000000	-79.342728
1668.000000	-79.628830
1672.000000	-78.304367
1676.000000	-80.495705
1680.000000	-84.023766
1684.000000	-84.343315
1688.000000	-84.912529
1692.000000	-89.415443
1696.000000	-87.309029
1700.000000	-83.713577
1704.000000	-82.888222
1708.000000	-79.241699
1712.000000	-75.930450
1716.000000	-75.147148
1720.000000	-78.580551
1724.000000	-82.777245
1728.000000	-82.982140
1732.000000	-83.954453
1736.000000	-85.462524
1740.000000	-83.842552
1744.000000	-86.335808
1748.000000	-89.971031
1752.000000	-87.634232
1756.000000	-84.449829
1760.000000	-82.789825
1764.000000	-83.739540
1768.000000	-81.169716
1772.000000	-84.720634
1776.000000	-85.522789
1780.000000	-85.259163
1784.000000	-82.776627
1788.000000	-86.908760
1792.000000	-88.734344
1796.000000	-85.003983
1800.000000	-84.619049
1804.000000	-83.817589
1808.000000	-82.484245
1812.000000	-78.940147
1816.000000	-79.223137
1820.000000	-80.994713
1824.000000	-79.897919
1828.000000	-82.364296
1832.000000	-84.524986
1836.000000	-85.468147
1840.000000	-87.502701
1844.000000	-86.832977
1848.000000	-86.551224
1852.000000	-86.478333
1856.000000	-81.741211
1860.000000	-77.973183
1864.000000	-80.458572
1868.000000	-84.447594
1872.000000	-84.253044
1876.000000	-84.953239
1880.000000	-84.424568
1884.000000	-84.368500
1888.000000	-87.917946
1892.000000	-88.757050
1896.000000	-89.298897
1900.000000	-87.474899
1904.000000	-85.480080
1908.000000	-77.921738
1912.000000	-77.222466
1916.000000	-78.060280
1920.000000	-82.245964
1924.000000	-88.234138
1928.000000	-87.476364
1932.000000	-90.121201
1936.000000	-94.267014
1940.000000	-89.322571
1944.000000	-84.928268
1948.000000	-84.166252
1952.000000	-82.968208
1956.000000	-79.912384
1960.000000	-82.109596
1964.000000	-86.103157
1968.000000	-89.353195
1972.000000	-86.491737
1976.000000	-84.037926
1980.000000	-85.483871
1984.000000	-89.398178
1988.000000	-87.353157
1992.000000	-87.137802
1996.000000	-85.388702
2000.000000	-83.602867
2004.000000	-80.756111
2008.000000	-80.514450
2012.000000	-83.112648
2016.000000	-84.217903
2020.000000	-85.254509
2024.000000	-88.479538
2028.000000	-87.594467
2032.000000	-85.683739
2036.000000	-85.647217
2040.000000	-84.225044
2044.000000	-82.799217
2048.000000	-81.930450
2052.000000	-82.928215
2056.000000	-82.504402
2060.000000	-81.301086
2064.000000	-77.769180
2068.000000	-79.338387
2072.000000	-84.696114
2076.000000	-88.338737
2080.000000	-88.640327
2084.000000	-86.685173
2088.000000	-87.451591
2092.000000	-88.504288
2096.000000	-86.257278
2100.000000	-81.573700
2104.000000	-78.824585
2108.000000	-79.514572
2112.000000	-82.538582
2116.000000	-85.160637
2120.000000	-86.495674
2124.000000	-85.031906
2128.000000	-86.841179
2132.000000	-85.237038
2136.000000	-81.657379
2140.000000	-84.779938
2144.000000	-86.167328
2148.000000	-84.303825
2152.000000	-87.282204
2156.000000	-79.924408
2160.000000	-78.860718
2164.000000	-81.901665
2168.000000	-84.529968
2172.000000	-83.911041
2176.000000	-84.459686
2180.000000	-84.770897
2184.000000	-85.430321
2188.000000	-88.113121
2192.000000	-89.828705
2196.000000	-86.962715
2200.000000	-81.447105
2204.000000	-78.276512
2208.000000	-78.984177
2212.000000	-79.931000
2216.000000	-80.552147
2220.000000	-83.578247
2224.000000	-86.997078
2228.000000	-87.131630
2232.000000	-87.553383
2236.000000	-91.072639
2240.000000	-89.630737
2244.000000	-86.811821
2248.000000	-86.686142
2252.000000	-84.076874
2256.000000	-81.223434
2260.000000	-81.479607
2264.000000	-83.842094
2268.000000	-84.728271
2272.000000	-85.507301
2276.000000	-87.666710
2280.000000	-88.716293
2284.000000	-86.757439
2288.000000	-88.962547
2292.000000	-89.934662
2296.000000	-83.843277
2300.000000	-83.231155
2304.000000	-85.027916
2308.000000	-84.557274
2312.000000	-87.201118
2316.000000	-89.852516
2320.000000	-87.639191
2324.000000	-88.168625
2328.000000	-90.651840
2332.000000	-90.718285
2336.000000	-86.492088
2340.000000	-84.886795
2344.000000	-88.119385
2348.000000	-90.345596
2352.000000	-83.315216
2356.000000	-84.086990
2360.000000	-87.657761
2364.000000	-84.172325
2368.000000	-85.323296
2372.000000	-91.367874
2376.000000	-89.367676
2380.000000	-85.687798
2384.000000	-86.512634
2388.000000	-84.709023
2392.000000	-84.733055
2396.000000	-81.169891
2400.000000	-79.067360
2404.000000	-80.749825
2408.000000	-82.549355
2412.000000	-83.113846
2416.000000	-84.796432
2420.000000	-90.150223
2424.000000	-92.621719
2428.000000	-90.155685
2432.000000	-88.990044
